"","Model","df","logLik","AIC","AICw","AICc","AICcw","BIC"
"1","JC",19,-1405.89499619611,2849.78999239221,1.42174113042765e-23,2850.69046632586,1.97532961473897e-23,2940.25987499949
"2","JC+I",20,-1405.33269670011,2850.66539340023,9.17761032608001e-24,2851.66183468137,1.2153730907278e-23,2945.89684877631
"3","JC+G(4)",20,-1405.3338187951,2850.66763759021,9.16731795108926e-24,2851.66407887135,1.21401009152005e-23,2945.89909296629
"4","JC+G(4)+I",21,-1405.33676665536,2852.67353331073,3.36254087985365e-24,2853.77092048412,4.23377187448146e-24,2952.66656145561
"5","F81",22,-1376.61359654633,2797.22719309266,3.68712084813858e-12,2798.43052246246,4.40293421948907e-12,2901.98179400635
"6","F81+I",23,-1376.06396323759,2798.12792647519,2.35015011367097e-12,2799.44221218947,2.65495133039964e-12,2907.64410015768
"7","F81+G(4)",23,-1376.06500157444,2798.13000314889,2.34771113266089e-12,2799.44428886318,2.65219602730651e-12,2907.64617683138
"8","F81+G(4)+I",24,-1376.06734073791,2800.13468147583,8.61656744339421e-13,2801.5649556117,9.18562447665029e-13,2914.41242792713
"9","K80",20,-1381.603642925,2803.20728585001,1.85407257201211e-13,2804.20372713114,2.45531225691347e-13,2898.43874122609
"10","K80+I",21,-1380.83994102667,2803.67988205334,1.46387423704462e-13,2804.77726922674,1.84316259460532e-13,2903.67291019822
"11","K80+G(4)",21,-1380.85554472312,2803.71108944624,1.44120967314818e-13,2804.80847661964,1.81462566476543e-13,2903.70411759113
"12","K80+G(4)+I",22,-1380.84665156946,2805.69330313893,5.34927511065215e-14,2806.89663250872,6.38777718556253e-14,2910.44790405261
"13","HKY",23,-1352.27578072589,2750.55156145178,0.050370006007881,2751.86584716606,0.056902711739538,2860.06773513427
"14","HKY+I",24,-1351.38544988392,2750.77089976784,0.0451381018852567,2752.20117390372,0.0481191212429508,2865.04864621914
"15","HKY+G(4)",24,-1351.43580160211,2750.87160320421,0.042921591719893,2752.30187734009,0.0457562278795016,2865.14934965551
"16","HKY+G(4)+I",25,-1351.39856104569,2752.79712209138,0.0163890849140253,2754.34843474055,0.0164454560442615,2871.83644131149
"17","TrNe",21,-1381.53397982001,2805.06795964001,7.31284804884839e-14,2806.16534681341,9.20759969851087e-14,2905.0609877849
"18","TrNe+I",22,-1380.78703955174,2805.57407910348,5.67785247649505e-14,2806.77740847327,6.78014418068004e-14,2910.32868001716
"19","TrNe+G(4)",22,-1380.79910504666,2805.59821009331,5.60975799916055e-14,2806.80153946311,6.69882992037701e-14,2910.352811007
"20","TrNe+G(4)+I",23,-1380.79099486148,2807.58198972295,2.08051980008234e-14,2808.89627543724,2.35035148564333e-14,2917.09816340545
"21","TrN",24,-1351.30631945786,2750.61263891571,0.0488550205028113,2752.04291305159,0.0520815133272026,2864.89038536701
"22","TrN+I",25,-1350.55872889993,2751.11745779985,0.0379567633362833,2752.66877044902,0.0380873176448734,2870.15677701996
"23","TrN+G(4)",25,-1350.57004002946,2751.14008005892,0.0375298484659247,2752.69139270808,0.0376589343780862,2870.17939927902
"24","TrN+G(4)+I",26,-1350.55797480605,2753.11594961211,0.0139740466555795,2754.79336896695,0.0131652673126992,2876.91684160101
"25","TPM1",21,-1380.22289758061,2802.44579516121,2.7132032671401e-13,2803.54318233461,3.41619153271645e-13,2902.4388233061
"26","TPM1+I",22,-1379.47677103602,2802.95354207204,2.1048758754026e-13,2804.15687144184,2.51351404016655e-13,2907.70814298573
"27","TPM1+G(4)",22,-1379.50628178775,2803.01256357549,2.04366700796487e-13,2804.21589294529,2.44042215409132e-13,2907.76716448918
"28","TPM1+G(4)+I",23,-1379.48392975907,2804.96785951813,7.68817065335568e-14,2806.28214523242,8.68528303180716e-14,2914.48403320063
"29","K81",21,-1380.22289758061,2802.44579516121,2.7132032671401e-13,2803.54318233461,3.41619153271645e-13,2902.4388233061
"30","K81+I",22,-1379.47677103602,2802.95354207204,2.1048758754026e-13,2804.15687144184,2.51351404016655e-13,2907.70814298573
"31","K81+G(4)",22,-1379.50628178775,2803.01256357549,2.04366700796487e-13,2804.21589294529,2.44042215409132e-13,2907.76716448918
"32","K81+G(4)+I",23,-1379.48392975907,2804.96785951813,7.68817065335568e-14,2806.28214523242,8.68528303180716e-14,2914.48403320063
"33","TPM1u",24,-1350.90680065116,2749.81360130232,0.0728480637543842,2751.24387543819,0.0776591098363481,2864.09134775361
"34","TPM1u+I",25,-1350.05135557038,2750.10271114077,0.063043252253677,2751.65402378993,0.0632600928766861,2869.14203036087
"35","TPM1u+G(4)",25,-1350.11175586517,2750.22351173034,0.0593481375487211,2751.77482437951,0.0595522686279476,2869.26283095044
"36","TPM1u+G(4)+I",26,-1350.0641095029,2752.1282190058,0.0228984014402001,2753.80563836064,0.0215731050156013,2875.92911099471
"37","TPM2",21,-1381.5825543422,2805.16510868439,6.96611921514956e-14,2806.26249585779,8.77103376916229e-14,2905.15813682928
"38","TPM2+I",22,-1380.82159044912,2805.64318089823,5.48502789135159e-14,2806.84651026803,6.54988485388972e-14,2910.39778181192
"39","TPM2+G(4)",22,-1380.83667738406,2805.67335476812,5.40289674390241e-14,2806.87668413791,6.45180886059201e-14,2910.4279556818
